126170	гост-22793-1983-4-6-15-45-15-63-09г2с	gost-22793-1983	15	4.5	10	6
126172	гост-22793-1983-4-6-15-45-30-63-09г2с	gost-22793-1983	15	4.5	10	6
126174	гост-22793-1983-4-6-15-45-45-63-09г2с	gost-22793-1983	15	4.5	10	6
126176	гост-22793-1983-4-6-15-45-60-63-09г2с	gost-22793-1983	15	4.5	10	6
126178	гост-22793-1983-4-6-15-45-90-63-09г2с	gost-22793-1983	15	4.5	10	6
126180	гост-22793-1983-2-10-18-35-15-32-20	gost-22793-1983	18	3.5	15	10
126183	гост-22793-1983-2-10-18-35-30-32-20	gost-22793-1983	18	3.5	15	10
126186	гост-22793-1983-2-10-18-35-45-32-20	gost-22793-1983	18	3.5	15	10
126189	гост-22793-1983-2-10-18-35-60-32-20	gost-22793-1983	18	3.5	15	10
126192	гост-22793-1983-2-10-18-35-90-32-20	gost-22793-1983	18	3.5	15	10
126210	гост-22793-1983-2-15-25-45-15-32-20	gost-22793-1983	25	4.5	20	15
126213	гост-22793-1983-2-15-25-45-30-32-20	gost-22793-1983	25	4.5	20	15
126216	гост-22793-1983-2-15-25-45-45-32-20	gost-22793-1983	25	4.5	20	15
126219	гост-22793-1983-2-15-25-45-60-32-20	gost-22793-1983	25	4.5	20	15
126222	гост-22793-1983-2-15-25-45-90-32-20	gost-22793-1983	25	4.5	20	15
126235	гост-22793-1983-2-25-38-6-15-32-20	gost-22793-1983	38	6	32	25
126238	гост-22793-1983-2-25-38-6-30-32-20	gost-22793-1983	38	6	32	25
126241	гост-22793-1983-2-25-38-6-45-32-20	gost-22793-1983	38	6	32	25
126244	гост-22793-1983-2-25-38-6-60-32-20	gost-22793-1983	38	6	32	25
126247	гост-22793-1983-2-25-38-6-90-32-20	gost-22793-1983	38	6	32	25
126250	гост-22793-1983-2-25-45-9-15-32-20	gost-22793-1983	45	9	40	25
126253	гост-22793-1983-2-25-45-9-30-32-20	gost-22793-1983	45	9	40	25
126256	гост-22793-1983-2-25-45-9-45-32-20	gost-22793-1983	45	9	40	25
126259	гост-22793-1983-2-25-45-9-60-32-20	gost-22793-1983	45	9	40	25
126262	гост-22793-1983-2-25-45-9-90-32-20	gost-22793-1983	45	9	40	25
126275	гост-22793-1983-1-32-45-6-15-20-20	gost-22793-1983	45	6	40	32
126278	гост-22793-1983-1-32-45-6-30-20-20	gost-22793-1983	45	6	40	32
126281	гост-22793-1983-1-32-45-6-45-20-20	gost-22793-1983	45	6	40	32
126284	гост-22793-1983-1-32-45-6-60-20-20	gost-22793-1983	45	6	40	32
126287	гост-22793-1983-1-32-45-6-90-20-20	gost-22793-1983	45	6	40	32
126320	гост-22793-1983-3-32-57-12-15-50-09г2с	gost-22793-1983	57	12	50	32
126323	гост-22793-1983-3-32-57-12-30-50-09г2с	gost-22793-1983	57	12	50	32
126326	гост-22793-1983-3-32-57-12-45-50-09г2с	gost-22793-1983	57	12	50	32
126329	гост-22793-1983-3-32-57-12-60-50-09г2с	gost-22793-1983	57	12	50	32
126332	гост-22793-1983-3-32-57-12-90-50-09г2с	gost-22793-1983	57	12	50	32
126343	гост-22793-1983-1-40-56-7-15-20-20	gost-22793-1983	56	7	50	40
126346	гост-22793-1983-1-40-56-7-30-20-20	gost-22793-1983	56	7	50	40
126349	гост-22793-1983-1-40-56-7-45-20-20	gost-22793-1983	56	7	50	40
126352	гост-22793-1983-1-40-56-7-60-20-20	gost-22793-1983	56	7	50	40
126355	гост-22793-1983-1-40-56-7-90-20-20	gost-22793-1983	56	7	50	40
126383	гост-22793-1983-1-50-76-9-15-20-20	gost-22793-1983	76	9	65	50
126386	гост-22793-1983-1-50-76-9-30-20-20	gost-22793-1983	76	9	65	50
126389	гост-22793-1983-1-50-76-9-45-20-20	gost-22793-1983	76	9	65	50
126392	гост-22793-1983-1-50-76-9-60-20-20	gost-22793-1983	76	9	65	50
126395	гост-22793-1983-1-50-76-9-90-20-20	gost-22793-1983	76	9	65	50
126413	гост-22793-1983-3-50-102-20-15-50-09г2с	gost-22793-1983	102	20	80	50
126416	гост-22793-1983-3-50-102-20-30-50-09г2с	gost-22793-1983	102	20	80	50
126419	гост-22793-1983-3-50-102-20-45-50-09г2с	gost-22793-1983	102	20	80	50
126422	гост-22793-1983-3-50-102-20-60-50-09г2с	gost-22793-1983	102	20	80	50
126425	гост-22793-1983-3-50-102-20-90-50-09г2с	gost-22793-1983	102	20	80	50
126428	гост-22793-1983-4-50-102-22-15-63-09г2с	gost-22793-1983	102	22	80	50
126430	гост-22793-1983-4-50-102-22-30-63-09г2с	gost-22793-1983	102	22	80	50
126432	гост-22793-1983-4-50-102-22-45-63-09г2с	gost-22793-1983	102	22	80	50
126434	гост-22793-1983-4-50-102-22-60-63-09г2с	gost-22793-1983	102	22	80	50
126436	гост-22793-1983-4-50-102-22-90-63-09г2с	gost-22793-1983	102	22	80	50
126438	гост-22793-1983-1-65-89-11-15-20-20	gost-22793-1983	89	11	80	65
126441	гост-22793-1983-1-65-89-11-60-20-20	gost-22793-1983	89	11	80	65
126444	гост-22793-1983-1-65-89-11-90-20-20	gost-22793-1983	89	11	80	65
126447	гост-22793-1983-2-65-102-16-15-32-20	gost-22793-1983	102	16	80	65
126450	гост-22793-1983-2-65-102-16-60-32-20	gost-22793-1983	102	16	80	65
126453	гост-22793-1983-2-65-102-16-90-32-20	gost-22793-1983	102	16	80	65
126456	гост-22793-1983-3-65-114-22-15-50-09г2с	gost-22793-1983	114	22	100	65
126459	гост-22793-1983-3-65-114-22-60-50-09г2с	gost-22793-1983	114	22	100	65
126462	гост-22793-1983-3-65-114-22-90-50-09г2с	gost-22793-1983	114	22	100	65
126475	гост-22793-1983-1-80-114-14-30-20-20	gost-22793-1983	114	14	100	80
126478	гост-22793-1983-1-80-114-14-45-20-20	gost-22793-1983	114	14	100	80
126481	гост-22793-1983-1-80-114-14-60-20-20	gost-22793-1983	114	14	100	80
126484	гост-22793-1983-1-80-114-14-90-20-20	gost-22793-1983	114	14	100	80
126499	гост-22793-1983-3-80-140-25-15-50-09г2с	gost-22793-1983	140	25	125	80
126502	гост-22793-1983-3-80-140-25-30-50-09г2с	gost-22793-1983	140	25	125	80
126505	гост-22793-1983-3-80-140-25-45-50-09г2с	gost-22793-1983	140	25	125	80
126508	гост-22793-1983-3-80-140-25-60-50-09г2с	gost-22793-1983	140	25	125	80
126511	гост-22793-1983-3-80-140-25-90-50-09г2с	gost-22793-1983	140	25	125	80
126514	гост-22793-1983-4-80-159-36-15-63-09г2с	gost-22793-1983	159	36	150	80
126516	гост-22793-1983-4-80-159-36-30-63-09г2с	gost-22793-1983	159	36	150	80
126518	гост-22793-1983-4-80-159-36-45-63-09г2с	gost-22793-1983	159	36	150	80
126520	гост-22793-1983-4-80-159-36-60-63-09г2с	gost-22793-1983	159	36	150	80
126522	гост-22793-1983-4-80-159-36-90-63-09г2с	gost-22793-1983	159	36	150	80
126539	гост-22793-1983-2-100-140-20-15-32-20	gost-22793-1983	140	20	125	100
126542	гост-22793-1983-2-100-140-20-30-32-20	gost-22793-1983	140	20	125	100
126545	гост-22793-1983-2-100-140-20-45-32-20	gost-22793-1983	140	20	125	100
126548	гост-22793-1983-2-100-140-20-60-32-20	gost-22793-1983	140	20	125	100
126551	гост-22793-1983-2-100-140-20-90-32-20	gost-22793-1983	140	20	125	100
126554	гост-22793-1983-3-100-159-28-15-50-09г2с	gost-22793-1983	159	28	150	100
126557	гост-22793-1983-3-100-159-28-30-50-09г2с	gost-22793-1983	159	28	150	100
126560	гост-22793-1983-3-100-159-28-45-50-09г2с	gost-22793-1983	159	28	150	100
126563	гост-22793-1983-3-100-159-28-60-50-09г2с	gost-22793-1983	159	28	150	100
126566	гост-22793-1983-3-100-159-28-90-50-09г2с	gost-22793-1983	159	28	150	100
126569	гост-22793-1983-4-100-180-40-15-63-09г2с	gost-22793-1983	180	40	15	100
126571	гост-22793-1983-4-100-180-40-30-63-09г2с	gost-22793-1983	180	40	15	100
126573	гост-22793-1983-4-100-180-40-45-63-09г2с	gost-22793-1983	180	40	15	100
126575	гост-22793-1983-4-100-180-40-60-63-09г2с	gost-22793-1983	180	40	15	100
126577	гост-22793-1983-4-100-180-40-90-63-09г2с	gost-22793-1983	180	40	15	100
126579	гост-22793-1983-1-125-159-18-15-20-20	gost-22793-1983	159	18	150	125
126582	гост-22793-1983-1-125-159-18-30-20-20	gost-22793-1983	159	18	150	125
126585	гост-22793-1983-1-125-159-18-45-20-20	gost-22793-1983	159	18	150	125
126588	гост-22793-1983-1-125-159-18-60-20-20	gost-22793-1983	159	18	150	125
126591	гост-22793-1983-1-125-159-18-90-20-20	gost-22793-1983	159	18	150	125
126594	гост-22793-1983-2-125-180-28-15-32-20	gost-22793-1983	180	28	15	125
126597	гост-22793-1983-2-125-180-28-30-32-20	gost-22793-1983	180	28	15	125
126600	гост-22793-1983-2-125-180-28-45-32-20	gost-22793-1983	180	28	15	125
126603	гост-22793-1983-2-125-180-28-60-32-20	gost-22793-1983	180	28	15	125
126606	гост-22793-1983-2-125-180-28-90-32-20	gost-22793-1983	180	28	15	125
126624	гост-22793-1983-4-125-219-48-15-63-09г2с	gost-22793-1983	219	48	200	125
126626	гост-22793-1983-4-125-219-48-30-63-09г2с	gost-22793-1983	219	48	200	125
126628	гост-22793-1983-4-125-219-48-45-63-09г2с	gost-22793-1983	219	48	200	125
126630	гост-22793-1983-4-125-219-48-60-63-09г2с	gost-22793-1983	219	48	200	125
126632	гост-22793-1983-4-125-219-48-90-63-09г2с	gost-22793-1983	219	48	200	125
126649	гост-22793-1983-2-150-219-32-15-32-20	gost-22793-1983	219	32	200	150
126652	гост-22793-1983-2-150-219-32-30-32-20	gost-22793-1983	219	32	200	150
126655	гост-22793-1983-2-150-219-32-45-32-20	gost-22793-1983	219	32	200	150
126658	гост-22793-1983-2-150-219-32-60-32-20	gost-22793-1983	219	32	200	150
126661	гост-22793-1983-2-150-219-32-90-32-20	gost-22793-1983	219	32	200	150
