99813	troynik-219h6-200h6-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 219×6 ОСТ 34.10.764-1997
99849	troynik-273h6-250h6-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 273×6 ОСТ 34.10.764-1997
99855	troynik-325h6-300h6-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 325×6 ОСТ 34.10.764-1997
99867	troynik-820h11-800h11-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 820×11 ОСТ 34.10.764-1997
99885	troynik-1020h10-1000h10-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1020×10 ОСТ 34.10.764-1997
99903	troynik-1220h11-1200h11-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1220×11 ОСТ 34.10.764-1997
99915	troynik-1420h14-1400h14-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1420×14 ОСТ 34.10.764-1997
99927	troynik-1620h14-1600h14-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1620×14 ОСТ 34.10.764-1997
99933	troynik-108h6-100h6-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 108×6 ОСТ 34.10.764-1997
99939	troynik-133h6-125h6-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 133×6 ОСТ 34.10.764-1997
99945	troynik-159h7-150h7-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 159×7 ОСТ 34.10.764-1997
99951	troynik-219h9-200h9-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 219×9 ОСТ 34.10.764-1997
99957	troynik-325h13-300h13-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 325×13 ОСТ 34.10.764-1997
99963	troynik-325h10-300h10-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 325×10 ОСТ 34.10.764-1997
99969	troynik-325h16-300h16-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 325×16 ОСТ 34.10.764-1997
99975	troynik-377h15-350h15-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 377×15 ОСТ 34.10.764-1997
99981	troynik-377h18-350h18-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 377×18 ОСТ 34.10.764-1997
99987	troynik-426h12-400h12-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 426×12 ОСТ 34.10.764-1997
99993	troynik-426h16-400h16-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 426×16 ОСТ 34.10.764-1997
99999	troynik-426h22-400h22-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 426×22 ОСТ 34.10.764-1997
100005	troynik-530h11-500h11-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 530×11 ОСТ 34.10.764-1997
100011	troynik-530h14-500h14-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 530×14 ОСТ 34.10.764-1997
100017	troynik-630h14-600h14-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 630×14 ОСТ 34.10.764-1997
100023	troynik-630h10-600h10-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 630×10 ОСТ 34.10.764-1997
100029	troynik-630h18-600h18-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 630×18 ОСТ 34.10.764-1997
100035	troynik-720h14-700h14-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 720×14 ОСТ 34.10.764-1997
100041	troynik-720h11-700h11-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 720×11 ОСТ 34.10.764-1997
100047	troynik-720h18-700h18-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 720×18 ОСТ 34.10.764-1997
100053	troynik-820h14-800h14-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 820×14 ОСТ 34.10.764-1997
100059	troynik-820h18-800h18-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 820×18 ОСТ 34.10.764-1997
100065	troynik-820h12-800h12-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 820×12 ОСТ 34.10.764-1997
100071	troynik-820h22-800h22-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 820×22 ОСТ 34.10.764-1997
100077	troynik-1020h18-1000h18-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1020×18 ОСТ 34.10.764-1997
100083	troynik-1020h22-1000h22-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1020×22 ОСТ 34.10.764-1997
100089	troynik-1020h25-1000h25-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1020×25 ОСТ 34.10.764-1997
100095	troynik-1220h18-1200h18-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1220×18 ОСТ 34.10.764-1997
100101	troynik-1220h22-1200h22-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1220×22 ОСТ 34.10.764-1997
100107	troynik-1420h18-1400h18-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1420×18 ОСТ 34.10.764-1997
100113	troynik-1420h22-1400h22-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1420×22 ОСТ 34.10.764-1997
100119	troynik-1620h18-1600h18-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1620×18 ОСТ 34.10.764-1997
100125	troynik-1620h22-1600h22-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1620×22 ОСТ 34.10.764-1997
100131	troynik-1620h25-1600h25-ost-34-10-764-1997	снят Ду, выданный за второй конец	Тройник 1620×25 ОСТ 34.10.764-1997
100143	troynik-76h3-65h3-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 76×3 ОСТ 34.10.762-1997
100149	troynik-89h3-5-80h3-5-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 89×3.5 ОСТ 34.10.762-1997
100155	troynik-133h4-125h4-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 133×4 ОСТ 34.10.762-1997
100161	troynik-159h5-150h5-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 159×5 ОСТ 34.10.762-1997
100167	troynik-219h7-200h7-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 219×7 ОСТ 34.10.762-1997
100173	troynik-273h8-250h8-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 273×8 ОСТ 34.10.762-1997
100179	troynik-273h6-250h6-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 273×6 ОСТ 34.10.762-1997
100185	troynik-325h6-300h6-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 325×6 ОСТ 34.10.762-1997
